SCHL,gmajor,_FREQ_,radj_wagp,pct,pct_overall,source,target
Bachelors,"Computers, statistics, and mathematics",1299,53000,0.0196735285,0.0013180627,"Major: Computers, statistics, and mathematics","Occ: Installation, maintenance and repair"
Bachelors,"Computers, statistics, and mathematics",230,68000,0.0032854632,0.0002201154,"Major: Computers, statistics, and mathematics",Occ: Legal
Bachelors,"Computers, statistics, and mathematics",338,60000,0.0046177216,0.0003093724,"Major: Computers, statistics, and mathematics","Occ: Life, physical, and social sciences"
Bachelors,"Computers, statistics, and mathematics",12808,100000,0.1681567279,0.0112659565,"Major: Computers, statistics, and mathematics",Occ: Management
Bachelors,"Computers, statistics, and mathematics",4498,46000,0.060606271,0.004060424,"Major: Computers, statistics, and mathematics",Occ: Office and administrative support
Bachelors,"Computers, statistics, and mathematics",308,33000,0.0047089705,0.0003154858,"Major: Computers, statistics, and mathematics",Occ: Personal care and service
Bachelors,"Computers, statistics, and mathematics",1101,53000,0.0160074201,0.0010724453,"Major: Computers, statistics, and mathematics",Occ: Production
Bachelors,"Computers, statistics, and mathematics",676,64000,0.0098128477,0.000657429,"Major: Computers, statistics, and mathematics",Occ: Protective service
Bachelors,"Computers, statistics, and mathematics",4075,66000,0.0565946032,0.0037916552,"Major: Computers, statistics, and mathematics",Occ: Sales and related
Bachelors,"Computers, statistics, and mathematics",819,47000,0.0123257879,0.0008257879,"Major: Computers, statistics, and mathematics",Occ: Transportation and material moving
Bachelors,Education,398,66000,0.0046963771,0.0003395165,Major: Education,Occ: Architecture and engineering
Bachelors,Education,1016,48000,0.0128633689,0.0009299352,Major: Education,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Education,487,31000,0.0067337389,0.0004868041,Major: Education,Occ: Building and grounds cleaning and maintenance
Bachelors,Education,3119,55000,0.0373615374,0.0027009881,Major: Education,Occ: Business and financial operations
Bachelors,Education,2058,40000,0.0246458916,0.0017817324,Major: Education,Occ: Community and social service
Bachelors,Education,1072,68000,0.0129768221,0.0009381371,Major: Education,Occ: Computer and mathematical
Bachelors,Education,524,45000,0.0067047324,0.0004847071,Major: Education,Occ: Construction and extraction
Bachelors,Education,49472,43000,0.5747309113,0.0415491836,Major: Education,"Occ: Education, training, and library"
Bachelors,Education,117,32000,0.0009611941,0.0000694879,Major: Education,"Occ: Farming, fisheries, and forestry"
Bachelors,Education,741,26000,0.0108144278,0.0007818105,Major: Education,Occ: Food preparation and serving related
Bachelors,Education,1741,55000,0.0209597157,0.0015152466,Major: Education,Occ: Healthcare practitioners and technical
Bachelors,Education,518,30000,0.0064048417,0.000463027,Major: Education,Occ: Healthcare support
Bachelors,Education,435,52000,0.0055773352,0.0004032039,Major: Education,"Occ: Installation, maintenance and repair"
Bachelors,Education,337,51000,0.0042464241,0.0003069879,Major: Education,Occ: Legal
Bachelors,Education,294,53000,0.003762903,0.0002720326,Major: Education,"Occ: Life, physical, and social sciences"
Bachelors,Education,6735,59000,0.0812530659,0.0058740508,Major: Education,Occ: Management
Bachelors,Education,6226,37000,0.0751843731,0.0054353251,Major: Education,Occ: Office and administrative support
Bachelors,Education,1359,30000,0.0175556523,0.0012691557,Major: Education,Occ: Personal care and service
Bachelors,Education,1103,39000,0.013664325,0.0009878389,Major: Education,Occ: Production
Bachelors,Education,1048,61000,0.0129043056,0.0009328946,Major: Education,Occ: Protective service
Bachelors,Education,4231,49000,0.0539025439,0.0038967918,Major: Education,Occ: Sales and related
Bachelors,Education,922,40000,0.0120955131,0.0008744243,Major: Education,Occ: Transportation and material moving
Bachelors,Health,258,66000,0.0032665244,0.000229036,Major: Health,Occ: Architecture and engineering
Bachelors,Health,335,46000,0.004644791,0.0003256747,Major: Health,"Occ: Arts, design, entertainment, sports, and media"
Bachelors,Health,180,28000,0.0029046224,0.0002036609,Major: Health,Occ: Building and grounds cleaning and maintenance
Bachelors,Health,2051,58000,0.0275338567,0.0019305673,Major: Health,Occ: Business and financial operations
